symbol,name,year,pair_id,buy_date,sell_date,buy_price,sell_price
AAPL,Apple Inc.,2020,1,2020-01-14,2020-09-07,235.31,270.12
AAPL,Apple Inc.,2020,2,2020-01-10,2020-10-06,177.45,210.03
AAPL,Apple Inc.,2020,3,2020-01-14,2020-08-10,114.42,135.04
AAPL,Apple Inc.,2020,4,2020-03-03,2020-08-11,273.65,380.74
AAPL,Apple Inc.,2020,5,2020-06-01,2020-10-05,21.85,29.96
AAPL,Apple Inc.,2021,1,2021-01-06,2021-09-13,140.58,175.57
AAPL,Apple Inc.,2021,2,2021-05-01,2021-07-10,105.43,133.94
AAPL,Apple Inc.,2021,3,2021-05-04,2021-08-22,190.49,242.49
AAPL,Apple Inc.,2021,4,2021-03-22,2021-07-04,270.02,359.17
AAPL,Apple Inc.,2021,5,2021-04-22,2021-12-23,198.74,266.31
AAPL,Apple Inc.,2022,1,2022-06-15,2022-08-16,249.65,364.13
AAPL,Apple Inc.,2022,2,2022-06-18,2022-09-06,113.77,146.31
AAPL,Apple Inc.,2022,3,2022-01-19,2022-10-25,180.49,213.22
AAPL,Apple Inc.,2022,4,2022-02-18,2022-11-28,252.85,302.03
AAPL,Apple Inc.,2022,5,2022-04-01,2022-08-28,168.96,231.03
AAPL,Apple Inc.,2023,1,2023-06-11,2023-08-29,155.47,171.83
AAPL,Apple Inc.,2023,2,2023-05-18,2023-10-22,230.46,239.95
AAPL,Apple Inc.,2023,3,2023-02-04,2023-10-25,25.88,36.32
AAPL,Apple Inc.,2023,4,2023-06-25,2023-09-08,197.6,201.59
AAPL,Apple Inc.,2023,5,2023-06-08,2023-07-17,119.42,126.9
AAPL,Apple Inc.,2024,1,2024-06-26,2024-12-10,28.16,33.08
AAPL,Apple Inc.,2024,2,2024-04-30,2024-07-09,177.24,216.01
AAPL,Apple Inc.,2024,3,2024-01-07,2024-12-11,291.51,421.02
AAPL,Apple Inc.,2024,4,2024-04-17,2024-07-17,263.52,287.0
AAPL,Apple Inc.,2024,5,2024-06-20,2024-08-30,41.95,60.49
ADBE,Adobe Inc.,2020,1,2020-06-07,2020-07-17,246.43,301.97
ADBE,Adobe Inc.,2020,2,2020-03-15,2020-07-14,278.87,357.73
ADBE,Adobe Inc.,2020,3,2020-02-14,2020-09-26,277.74,319.53
