Full Legal Name,Ticker,Dividend Yield
ManpowerGroup Inc.,MAN,7.16%
Polaris Inc.,PII,7.06%
"Flowers Foods, Inc.",FLO,5.78%
"NNN REIT, Inc.",NNN,5.55%
Northwestern Energy Group Inc.,NWE,4.88%
Sonoco Products Co.,SON,4.74%
Portland General Electric Co.,POR,4.70%
Black Hills Corporation,BKH,4.63%
International Bancshares Corporation,IBOC,4.46%
Perrigo Company plc,PRGO,4.34%
Spire Inc.,SR,4.21%
"United Bankshares, Inc.",UBSI,4.13%
UGI Corporation,UGI,4.11%
New Jersey Resources Corporation,NJR,3.93%
Bank OZK,OZK,3.90%
OGE Energy Corp.,OGE,3.80%
"ONE Gas, Inc.",OGS,3.59%
"Essential Utilities, Inc.",WTRG,3.38%
"Prosperity Bancshares, Inc.",PB,3.36%
"Equity Lifestyle Properties, Inc.",ELS,3.25%
"Cullen/Frost Bankers, Inc.",CFR,3.17%
DT Midstream Inc.,DTM,3.07%
Old Republic International Corporation,ORI,3.04%
Westlake Corporation,WLK,3.01%
"American Financial Group, Inc.",AFG,2.56%
"Thor Industries, Inc.",THO,2.52%
National Fuel Gas Company,NFG,2.47%
Lancaster Colony Corporation,LANC,2.26%
"Ryder System, Inc.",R,2.22%
Unum Group,UNM,2.05%
The Toro Company,TTC,2.04%
"The Hanover Insurance Group, Inc.",THG,2.02%
RPM International Inc.,RPM,1.81%
"Commerce Bancshares, Inc.",CBSH,1.76%
"Reinsurance Group of America, Incorporated",RGA,1.75%
UMB Financial Corporation,UMBF,1.57%
"Lincoln Electric Holdings, Inc.",LECO,1.57%
"Donaldson Company, Inc.",DCI,1.56%
Silgan Holdings Inc.,SLGN,1.48%
Evercore Inc.,EVR,1.45%
MSA Safety Incorporated,MSA,1.31%
Graco Inc.,GGG,1.31%
"AptarGroup, Inc.",ATR,1.15%
RBA Global Inc.,RBA,1.10%
Carlisle Companies Incorporated,CSL,1.07%
"Royal Gold, Inc.",RGLD,0.96%
RLI Corp.,RLI,0.83%
"Applied Industrial Technologies, Inc.",AIT,0.82%
RenaissanceRe Holdings Ltd,RNR,0.63%
"Casey’s General Stores, Inc.",CASY,0.45%
