Year,FilingStatus,BracketLower,BracketUpper,RatePercent
2020,Single,0,9875.0,10
2020,Single,9875,40125.0,12
2020,Single,40125,85525.0,22
2020,Single,85525,163300.0,24
2020,Single,163300,207350.0,32
2020,Single,207350,518400.0,35
2020,Single,518400,,37
2020,MarriedFilingJointly,0,19750.0,10
2020,MarriedFilingJointly,19750,80250.0,12
2020,MarriedFilingJointly,80250,171050.0,22
2020,MarriedFilingJointly,171050,326600.0,24
2020,MarriedFilingJointly,326600,414700.0,32
2020,MarriedFilingJointly,414700,622050.0,35
2020,MarriedFilingJointly,622050,,37
2021,Single,0,9950.0,10
2021,Single,9950,40525.0,12
2021,Single,40525,86375.0,22
2021,Single,86375,164925.0,24
2021,Single,164925,209425.0,32
2021,Single,209425,523600.0,35
2021,Single,523600,,37
2021,MarriedFilingJointly,0,19900.0,10
2021,MarriedFilingJointly,19900,81050.0,12
2021,MarriedFilingJointly,81050,172750.0,22
2021,MarriedFilingJointly,172750,329850.0,24
2021,MarriedFilingJointly,329850,418850.0,32
2021,MarriedFilingJointly,418850,628300.0,35
2021,MarriedFilingJointly,628300,,37
2022,Single,0,10275.0,10
2022,Single,10275,41775.0,12
2022,Single,41775,89075.0,22
2022,Single,89075,170050.0,24
2022,Single,170050,215950.0,32
2022,Single,215950,539900.0,35
2022,Single,539900,,37
2022,MarriedFilingJointly,0,20550.0,10
2022,MarriedFilingJointly,20550,83550.0,12
2022,MarriedFilingJointly,83550,178150.0,22
2022,MarriedFilingJointly,178150,340100.0,24
2022,MarriedFilingJointly,340100,431900.0,32
2022,MarriedFilingJointly,431900,647850.0,35
2022,MarriedFilingJointly,647850,,37
2023,Single,0,11000.0,10
2023,Single,11000,44725.0,12
2023,Single,44725,95375.0,22
2023,Single,95375,182100.0,24
2023,Single,182100,231250.0,32
2023,Single,231250,578125.0,35
2023,Single,578125,,37
2023,MarriedFilingJointly,0,22000.0,10
2023,MarriedFilingJointly,22000,89450.0,12
2023,MarriedFilingJointly,89450,190750.0,22
2023,MarriedFilingJointly,190750,364200.0,24
2023,MarriedFilingJointly,364200,462500.0,32
2023,MarriedFilingJointly,462500,693750.0,35
2023,MarriedFilingJointly,693750,,37
2024,Single,0,11600.0,10
2024,Single,11600,47150.0,12
2024,Single,47150,100525.0,22
2024,Single,100525,191950.0,24
2024,Single,191950,243725.0,32
2024,Single,243725,609350.0,35
2024,Single,609350,,37
2024,MarriedFilingJointly,0,23200.0,10
2024,MarriedFilingJointly,23200,94300.0,12
2024,MarriedFilingJointly,94300,201050.0,22
2024,MarriedFilingJointly,201050,383900.0,24
2024,MarriedFilingJointly,383900,487450.0,32
2024,MarriedFilingJointly,487450,731200.0,35
2024,MarriedFilingJointly,731200,,37
2025,Single,0,11925.0,10
2025,Single,11925,48475.0,12
2025,Single,48475,103350.0,22
2025,Single,103350,197300.0,24
2025,Single,197300,250525.0,32
2025,Single,250525,626350.0,35
2025,Single,626350,,37
2025,MarriedFilingJointly,0,23850.0,10
2025,MarriedFilingJointly,23850,96950.0,12
2025,MarriedFilingJointly,96950,206700.0,22
2025,MarriedFilingJointly,206700,394600.0,24
2025,MarriedFilingJointly,394600,501050.0,32
2025,MarriedFilingJointly,501050,751600.0,35
2025,MarriedFilingJointly,751600,,37
